Code,Name,MV,Revenue,RevenueG,Profits,ProfitsG,PE,PB,GP,NP,ROE,BVPS,LEV,URL
600048,保利地产,1085.00,551.50,30.23,49.60,0.21,10.94,1.33,32.60,12.67,6.75,6.90,74.86,http://quote.eastmoney.com/sh600048.html,,
600050,中国联通,1136.00,1403.00,-3.06,4.47,-81.00,174.03,1.46,23.78,0.71,0.57,3.67,61.55,http://quote.eastmoney.com/sh600050.html,,
600051,宁波联合,34.79,14.04,1.12,0.33,-70.00,51.81,1.86,21.05,4.75,1.75,6.01,76.77,http://quote.eastmoney.com/sh600051.html,,
600052,浙江广厦,63.73,4.17,6.79,4.89,0.00,6.53,2.97,26.69,117.37,28.72,2.46,58.81,http://quote.eastmoney.com/sh600052.html,,
600053,九鼎投资,218.20,6.58,288.60,1.66,503.00,65.75,16.88,72.05,25.45,13.16,2.98,69.37,http://quote.eastmoney.com/sh600053.html,,
600054,黄山旅游,125.50,7.32,11.57,1.75,40.91,35.84,4.10,50.10,25.30,5.80,4.10,24.09,http://quote.eastmoney.com/sh600054.html,,
600055,万东医疗,73.74,5.64,8.01,0.45,77.37,122.37,4.32,40.43,7.34,2.90,4.42,15.80,http://quote.eastmoney.com/sh600055.html,,
600056,中国医药,212.10,120.30,26.49,5.10,36.44,20.81,3.28,12.53,4.89,9.14,6.05,64.20,http://quote.eastmoney.com/sh600056.html,,
600057,象屿股份,126.90,496.00,87.78,1.53,-15.00,41.69,2.05,2.82,0.54,2.50,5.28,72.81,http://quote.eastmoney.com/sh600057.html,,
600058,五矿发展,179.40,168.60,-52.58,1.12,0.00,79.79,3.53,5.34,0.63,2.24,4.74,78.37,http://quote.eastmoney.com/sh600058.html,,
600059,古越龙山,82.47,8.66,21.92,0.81,15.84,51.00,2.14,34.70,9.28,2.13,4.76,9.02,http://quote.eastmoney.com/sh600059.html,,
600060,海信电器,218.40,132.90,-5.09,7.41,18.53,14.74,1.79,16.67,5.58,6.05,9.31,35.31,http://quote.eastmoney.com/sh600060.html,,
600061,国投安信,595.10,3.00,-84.88,13.86,-45.00,21.20,2.21,5.81,461.77,5.20,7.28,78.13,http://quote.eastmoney.com/sh600061.html,,
600062,华润双鹤,159.50,28.46,10.71,4.34,5.58,18.39,2.54,51.88,15.64,6.86,8.66,16.62,http://quote.eastmoney.com/sh600062.html,,
600063,皖维高新,75.38,16.91,2.11,0.61,22.04,61.89,2.20,20.25,3.63,1.70,2.08,55.34,http://quote.eastmoney.com/sh600063.html,,
600064,南京高科,132.80,40.24,157.31,7.63,47.65,8.70,1.51,33.56,20.96,8.36,11.41,58.10,http://quote.eastmoney.com/sh600064.html,,
600065,*ST联谊,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,http://quote.eastmoney.com/sh600065.html,,
600066,宇通客车,489.50,132.70,27.73,12.35,30.56,19.74,4.54,24.85,9.55,10.70,4.87,57.62,http://quote.eastmoney.com/sh600066.html,,
